,Comments
1947,b'@BillyCorben @AppleSupport That\xe2\x80\x99s how you \xe2\x80\x9cthink different\xe2\x80\x9d I suppose..'
1948,b'@imaustinryan Also @AppleSupport we demand more Blue emojis'
1949,b'Hey @AppleSupport how can I complain about a super disrespectful employee with a bad attitude to both customers and other employees?'
1950,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1951,b'.@AppleSupport  Robo call from 888-295-3128 claiming to be from Apple Support recording reporting accounts were compromised and to press 1 to speak with Apple Tech....'
1952,"b'@Luke__Dobell @AppleSupport Maaaannn I\xe2\x80\x99ve been getting the run around since thanksgiving day. Went through the process for activation lock removal and nothing nada...got off the phone with them today and for the third time, going through the entire process again.'"
1953,b'@AppleSupport help me please https://t.co/xkELfXJaJO'
1954,b'RT @BrolmGay: Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1955,b'THE SECOND AIRPODS PRO CASE I LOSE @AppleSupport help me or something pls'
1956,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1957,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1958,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1959,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1960,"b'@chriskat1 @AppleSupport They said this kind of damage is covered, but not this kind of this kind of damage. It was a distinction without a difference.'"
1961,b'RT @BrolmGay: Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1962,"b'@AppleSupport Thanks, but that post doesn\xe2\x80\x99t shed any light on the contents of the 40GB of data that broadly falls under \xe2\x80\x9cother\xe2\x80\x9d or what I can do to diminish it. Kind of just explains what I already understand this pane does. Got any other info for me?'"
1963,"b'@JWTProgrammer @standupmaths @RachelTrue @Apple @AppleSupport You are right, of course.'"
1964,b'@AppleSupport \nPlease help me out ASAP'
1965,b'@AppleSupport \nWaiting for your response'
1966,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1967,"b'Hey @AppleSupport, or anyone in the Twittersphere, why doesn\xe2\x80\x99t the iPhone show the file name of the photo? Can I turn this on? I have about 7 similar photos, they all have names once I transfer them to the Mac, but hard to find the match w/no name on phone. https://t.co/AyZqt6mt8i'"
1968,"b'@AppleSupport Sure, will write you in few moments'"
1969,b'RT @BrolmGay: Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1970,b'Sucks that you still have to go all the way to editing a contact to delete it on IOS @Apple @AppleSupport'
1971,"b'@RachelTrue Why the hell has apple not sanitized user input on the last name that is extremely dangerous, @tim_cook @AppleSupport WAKE UP'"
1972,"b""@AppleSupport yall ain't shit"""
1973,b'Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1974,b'@AppleSupport just wanted to report a glitch: when I hit up on the volume once  (using headphones) the volume shoots all the way up and it\xe2\x80\x99s scary lmao'
1975,"b'@ayyyyyyypril @RachelTrue @joelschopp @Apple @AppleSupport I can since apparently they aren\xe2\x80\x99t sanitizing inputs or outputs. If you registered as a user with a last name containing malicious code in an IIFE then called in for support and they pulled you up, you\xe2\x80\x99ve just run malicious code against Apple. \n\nHard to tell without more info tho'"
1976,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1977,"b""@standupmaths @RachelTrue @Apple @AppleSupport Somebody got paid to write whatever code did this.\n\nand I can't get hired as a developer\n\ngo fuckin figure"""
1978,"b'@meawoppl @standupmaths @RachelTrue @Apple @AppleSupport Yes they do, actually.'"
1979,b'@AppleSupport Check your dms'
1980,b'@joneaves @RachelTrue @Apple @AppleSupport It shouldn\xe2\x80\x99t be though- what are they using in iCloud that interprets the string \xe2\x80\x9ctrue\xe2\x80\x9d to be equal to the boolean true?\n\nUnless they\xe2\x80\x99re doing some really bad stuff in JavaScript with loose equality.'
1981,"b'@Apple Thank you for your answer,but as I said,it is very expensive here and my nephew does not have such money. Maybe you, as an apple, give this repair to her as a gift. She is 11 years old and necessary for her online lessons.check dm @AppleSupport'"
1982,b'On March 5 2021 I finally updated my iPhone 7 to IOS 14 &amp; now shows my wi-fi has weak security. My CenturyLink modem is up to date with WPA2 security. Spotty Internet issues ever since. I know Apple released a lot of bugs in v14 too. Please help. @CenturyLinkHelp @AppleSupport'
1983,"b""@standupmaths @RachelTrue @Apple @AppleSupport Let me introduce you to my friend Robert'); DROP TABLE Students;--\n\nLittle Bobby Tables"""
1984,b'@AppleSupport Thanks! Just messaged you'
1985,b'@Phos_0001 @AppleSupport Kindly message me now for quick recovery'
1986,b'@EbonyThee @AppleSupport My phones been sorted so... maybe just a bad experience?'
1987,b'@Luke__Dobell @AppleSupport Lies!!! They will have you going in circles until you finally give up rendering your purchase worthless. They won\xe2\x80\x99t even update you on the status.'
1988,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1989,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1990,"b'@applesupport Two workouts, Ibram X Kendi and Dolly Parton, show in the Apple Watch app that they\xe2\x80\x99ve been downloaded to the Watch. Can\xe2\x80\x99t find them!'"
1991,"b""@AppleSupport just helped me free up 64GB of space, they're the best! \xf0\x9f\x92\xbb back to normal \xf0\x9f\x99\x8c"""
1992,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1993,"b'@applesupport I can\xe2\x80\x99t figure out how to use the Time to Walk feature in Workout on Apple Watch.   Watch Series 4, watch Os 7.3, iphone running iOS 14.4.'"
1994,b'@AppleSupport I bought AirPods Pro in December 2019 from @Argos_Online in the UK. They\xe2\x80\x99re sadly exhibiting the issues described at https://t.co/tyvBqdVRCv - are they covered by this? I was told by an Apple Support advisor told it only applies if bought direct from Apple\xe2\x80\xa6'
1995,b'@AppleCard Wait till you see nondescript charges in your wallet. Hours on phone with @AppleSupport breaking down. \xe2\x80\x9cWant to pay now?\xe2\x80\x9d\nNo! \nWaiting for hardcopy statement. \n@GoldmanSachs you are not in compliance. @RepKatiePorter \n@ewarren'
1996,b'@AppleSupport I sent :)'
1997,b'@AppleSupport looking at trading in my iPhone X towards iPhone 12 Pro Max and it comes up with my price etc but I\xe2\x80\x99m just wondering if it would be affected as the phone has slight screen burn'
1998,"b'@Apple @AppleSupport i just had an employee be incredibly transphobic to me while picking up an order because my id hasnt been changed since i transitioned, are yall gonna open your wallets'"
1999,"b""RT @AppleSupport: @xbrianax01 Hello there, we'd like to make sure that contacts that you block stay blocked. Please DM us what device you a\xe2\x80\xa6"""
2000,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2001,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2002,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2003,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2004,"b""@syairulislam @Apple @AppleSupport We're in throwaway society.."""
2005,b'@AppleSupport how do I set an appointment to get my phone repaired or replaced using my warranty?'
2006,"b'@AppleSupport gave me one of the worst experiences I\xe2\x80\x99ve ever been through. I feel cheated and disappointed with the customer service (or lack thereof). Something simple they could have done to help me, they refused to. I thank @TMobile for the terrific customer service!'"
2007,b'Love it when I still pay R14.99 for extra cloud storage just for you fuckers to tell me my photos can\xe2\x80\x99t load \xf0\x9f\xa5\xb0@AppleSupport'
2008,b'@applesupport keep getting disconnected on calls to tech/support -genius bar'
2009,b'I used @Apple trade-in and it\xe2\x80\x99s been a disaster. I sent them a gold iPhone XS Max with 512 gigs of storage.  They sent me a estimate for a white  iPhone 6 with 16 gigs.  @AppleSupport needs to do something. This is ridiculous.'
2010,b'@AppleSupport How do you get rid of this virus?? https://t.co/YrwIzickyN'
2011,"b'@carolsince85 @Apple @AppleSupport Hmm, i just unpaired my watch and paired it again, so lets see how it goes. Hopefully it should work'"
2012,b'@AppleSupport I literally provided @Apple my T-Mobile bill which has a contract for the ipad and @Apple still is saying that was not sufficient. https://t.co/n5mSMsaZKK'
2013,b'@applesupport where the ibook g4 released yet'
2014,b'@Apple Your @AppleSupport  was no help in recovery my account and I will never spend another dollar of my money on your products'
2015,b'@AppleSupport I am trying to file a complaint for an unauthorised subscription fee taken by iTunes from my phone!!! How does one get reimbursed and/or file a complaint'
2016,b'@AppleSupport y\xe2\x80\x99all need to update y\xe2\x80\x99all shit. There\xe2\x80\x99s no way my phone should be glitching and freezing this much g!!'
2017,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2018,"b""@RachelTrue @openlabbott @Apple @AppleSupport @selfification if you haven't seen this yet..."""
2019,b'@AppleSupport What\xe2\x80\x99s up with the huge amount of space taken up by Documents &amp; Data in Podcasts. How do you delete it? I\xe2\x80\x99ve deleted all my podcasts but this is still there.'
2020,b'@AppleSupport Again\xe2\x80\xa6 I already had a callback scheduled. The call was dropped. No one called me back.\n\nPlease make this a human process.'
2021,"b""@AppleSupport Hello, iMac running 11.2.1. Photos app is not scanning faces. I've had the app open in the background for days and it's still at 0 scanned. Is there anything I can do to get it to start scanning? Thanks"""
2022,b'@AppleSupport Please read the case log. There is no reason for me to be involved at this point. I\xe2\x80\x99ve been told by a representative named Gem that a refund is warranted. So\xe2\x80\xa6 refund me.'
2023,"b""Oh @AppleSupport, you couldn't have possibly done that \xe2\x80\xa6 https://t.co/vpkE84AiOs"""
2024,b'@AppleSupport Why can\xe2\x80\x99t you do this if you have my case number?'
2025,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2026,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2027,"b'Hi @AppleSupport , I changed the hard drive, and durong last 5 days i tried several times to reinstalling macOS on my macbook, and I receive this error. https://t.co/0bWZVr4c9s'"
2028,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2029,"b'@benhedberg @climacell @AppleSupport #apple knows about this and has decided to ignore your problem. please buy a new phone when the widgets stick every day, like @tim_cook'"
2030,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2031,b'Hey @AppleSupport how is it that I was able to book an appointment through you with the @GeekSquad to get my 12 Max\xe2\x80\x99s screen fixed and when I show up they don\xe2\x80\x99t have any parts. The phones been out for 5 months! Wasted my time and now need to drive an hour to an @Apple store. \xf0\x9f\x98\xa1'
2032,b'@J4ylenciaga @AppleSupport LMFAOOOO GET OUT MY SHITTT'
2033,b'@megukoo1 @Filipalla_rblx @RachelTrue @Apple @AppleSupport @Nightmaare69 TRUE LOL'
2034,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2035,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2036,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2037,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2038,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
2039,b'@RachelTrue @Apple @AppleSupport Then time to go away from any Apple products they sell us products but when we need customer support oops no employees for helping us I learned that with my 6S. Lesson learned. I switched to Android.  I hope Apple will help you but inexistant support is the good term.'
